date,cbsa_code,city_description,population,actual_murder,actual_all_crimes,actual_index_violent
2015-03-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,5,6954.0,8.416666666666666
2015-03-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-03-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,12,15440.0,38.125
2015-03-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,16,13782.0,17.695121951219512
2015-03-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-04-01,12420,"Austin-Round Rock, TX Metro Area",2008606,6,6594.0,10.452380952380953
2015-04-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,7,8425.0,7.029411764705882
2015-04-01,17900,"Columbia, SC Metro Area",811574,5,3532.0,4.987179487179487
2015-04-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,18,21803.0,11.327380952380953
2015-04-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,12,8544.0,122.33333333333333
2015-04-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,6,7524.0,7.62037037037037
2015-04-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-04-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,28,15140.0,35.325
2015-04-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,17,13517.0,16.304878048780488
2015-04-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-05-01,12420,"Austin-Round Rock, TX Metro Area",2008606,2,7238.0,13.071428571428571
2015-05-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,4,8986.0,8.558823529411764
2015-05-01,17900,"Columbia, SC Metro Area",811574,1,4031.0,6.243589743589744
2015-05-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,33,23495.0,13.196428571428571
2015-05-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,18,9428.0,125.41666666666667
2015-05-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,9,8096.0,10.0
2015-05-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,0,0.0,0.0
2015-05-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,15,15703.0,39.575
2015-05-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,12,14219.0,17.70731707317073
2015-05-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,0,0.0,0.0
2015-06-01,12420,"Austin-Round Rock, TX Metro Area",2008606,5,6831.0,11.476190476190476
2015-06-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,8,8454.0,7.303921568627451
2015-06-01,17900,"Columbia, SC Metro Area",811574,4,3726.0,5.5256410256410255
